ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2372694,Summit,LWM24,,761101084152,Front Load,,"Delayed Start,Gentle Cycle,Wool",Residential,2.3,,23.4,,,1.84,100,3.5,4.7,2375,,,,,,,,,No,,,,Yes,ES_0092282_LDHP24_01282021074825_80069867,01/20/2021,01/21/2021,"United States, Canada",ES_0092282_LWM24_01272021080735_80069873,No
2372693,Summit,SLW241W,,761101065984,Front Load,,"Delayed Start,Gentle Cycle,Wool",Residential,2.3,,23.4,,,1.84,100,3.5,4.7,2375,,,,,,,,,No,,,,Yes,ES_0092282_SLD242W_01282021074825_80069867,01/20/2021,01/21/2021,"United States, Canada",ES_0092282_SLW241W_01272021080735_80069873,No
3942867,Summit,SLW341,,,Front Load,,"Delayed Start,Hand Wash Cycle,Anti-Wrinkle",Residential,1.9,,23.4,,,1.84,100,4,4.7,2254,,,,,,,,,No,,,,No,,04/02/2025,01/14/2025,"United States, Canada",ES_1147102_SLW341_01142025104445_80240418,No
3942869,Summit,SLW343,,,Front Load,,"Delayed Start,Hand Wash Cycle,Anti-Wrinkle",Residential,2.3,,23.4,,,1.84,100,4,4.7,2667,,,,,,,,,No,,,,No,,04/02/2025,01/14/2025,"United States, Canada",ES_1147102_SLW343_01142025104445_80240418,No
2365132,LG,WM3450C*,,772454073809,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,100,2.9,4.7,3841,,,,,,,,,No,,,,No,,08/27/2020,08/25/2020,"United States, Canada",ES_1118034_WM3450C*_08272020033724_80054071,No
2339489,LG,WM3460C*,,048231028059;048231028080,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,100,2.9,4.7,3841,,,,,,,,,No,,,,No,,06/06/2019,06/06/2019,"United States, Canada",ES_1118034_WM3460C*_06072019043709_80006477,No
2405711,LG,WM3470C*,,195174048375;195174048740,Front Load,,None,Residential,5,,27.0,,2.92,1.84,95,2.9,4.7,4295,,,,,,,,,No,,,,No,,12/15/2022,12/15/2022,"United States, Canada",ES_1118034_WM3470C*_12152022105046_80153157,No
2319458,LG,WM3500C*,,048231024990,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,100,2.9,4.7,3841,,,,,,,,,No,,,,No,,05/09/2018,05/04/2018,"United States, Canada",ES_1118034_WM3500C*_05072018024107_70182073,No
2320405,LG,WM3505C*,,772454070020,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,100,2.9,4.7,3841,,,,,,,,,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WM3505C*_05242018111228_70184257,No
2358067,LG,WM3600H*A,,048231028257;048231028264,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,04/14/2020,04/14/2020,"United States, Canada",ES_1118034_WM3600H*A_04152020094416_80040225,No
2367421,LG,WM3605H*A,,772454073632,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,10/14/2020,10/13/2020,"United States, Canada",ES_1118034_WM3605H*A_10142020051525_80059014,No
2310497,LG,WM3670H*A,,048231017497;048231017503;048231017510;772454067860,Front Load,,"Steam Cycle,Sanitize Option",Residential,4.5,,27.0,,2.92,1.84,100,3.2,4.7,4220,,,,,,,,,No,,,,No,,09/01/2016,02/09/2018,"United States, Canada",ES_1118034_WM3670H*A_02092018060252_70172585,No
2318268,LG,WM3700H*A,,048231024600;048231024624;048231025065,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,04/21/2018,04/09/2018,"United States, Canada",ES_1118034_WM3700H*A_04102018113028_70179308,No
2337192,LG,WM3800H*A,,772454071287;772454071720,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3850,,,,,,,,,No,,,,No,,04/29/2019,04/24/2019,"United States, Canada",ES_1118034_WM3800H*A_04242019014737_80001963,No
2367422,LG,WM3850H*A,,772454073625;772454073632,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,10/14/2020,10/13/2020,"United States, Canada",ES_1118034_WM3850H*A_10142020051525_80059014,No
2337191,LG,WM3900H*A,,048231024839;048231024891;048231026420,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3850,,,,,,,,,No,,,,No,,04/29/2019,04/24/2019,"United States, Canada",ES_1118034_WM3900H*A_04242019014737_80001963,No
2358068,LG,WM4000H*A,,048231028271;048231028288,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,04/14/2020,04/14/2020,"United States, Canada",ES_1118034_WM4000H*A_04152020094416_80040225,No
2393561,LG,WM4080H*A,,195174037034;195174037041,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,03/03/2022,03/02/2022,"United States, Canada",ES_1118034_WM4080H*A_03042022014023_80118577,No
2367423,LG,WM4100H*A,,772454073250;772454073274,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,No,,10/14/2020,10/13/2020,"United States, Canada",ES_1118034_WM4100H*A_10142020051525_80059014,No
2360586,LG,WM4200H*A,,048231028295;048231028301,Front Load,,None,Residential,5,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,No,,05/21/2020,05/21/2020,"United States, Canada",ES_1118034_WM4200H*A_05252020115847_80043606,Yes
2355243,LG,WM4500H*A,,048231026772;048231026802,Front Load,,None,Residential,5,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,No,,02/24/2020,02/24/2020,"United States, Canada",ES_1118034_WM4500H*A_02252020053405_80034984,Yes
2310475,LG,WM5000H*A,,048231015288;048231015295;772454064517;772454064524,Front Load,,"Steam Cycle,Sanitize Option",Residential,4.5,,27.0,,2.92,1.84,105,2.8,4.7,3676,,,,,,,,,No,,,,No,,05/24/2017,02/08/2018,"United States, Canada",ES_1118034_WM5000H*A_02092018060252_70172585,No
2310474,LG,WM5005H*A,,048231020657,Front Load,,"Steam Cycle,Sanitize Option",Residential,4.5,,27.0,,2.92,1.84,105,2.8,4.7,3676,,,,,,,,,No,,,,No,,05/24/2017,02/08/2018,"United States, Canada",ES_1118034_WM5005H*A_02092018060252_70172585,No
2404736,LG,WM5500H*A,,195174052976;195174052990,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,3,4.7,4000,,,,,,,,,No,,,,No,,11/18/2022,11/17/2022,"United States, Canada",ES_1118034_WM5500H*A_11182022103053_80149412,No
2472838,LG,WM5700H*A,,195174062784,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,105,3,4.7,4000,,,,,,,,,No,,,,No,,05/04/2023,05/04/2023,"United States, Canada",ES_1118034_WM5700H*A_05082023143455_80168209,No
4481058,LG,WM5800H*A,,048231349796;195174122358,Front Load,,None,Residential,5,,27.0,,3.1,1.84,99,2.9,4.7,4295,3.0,,,,,,,,No,,,,No,,07/25/2025,07/28/2025,"United States, Canada",ES_1118034_WM5800H*A_08032025113302_80263584,Yes
2404735,LG,WM6500H*A,,195174048689;195174052921,Front Load,,None,Residential,5,,27.0,,2.92,1.84,105,3,4.7,4443,,,,,,,,,No,,,,No,,11/17/2022,11/17/2022,"United States, Canada",ES_1118034_WM6500H*A_11182022103053_80149412,No
2397418,LG,WM6700H*A,,195174037058,Front Load,,None,Residential,5,,27.0,,3.1,1.84,105,3,4.7,4425,,,,,,,,,No,,,,No,,06/07/2022,06/07/2022,"United States, Canada",ES_1118034_WM6700H*A_06132022032603_80129741,Yes
2683756,LG,WM6998H*A,,195174070161,Front Load,Combination All-in-One Washer/Dryer,None,Residential,5,39.00,27.0,33.13,2.92,1.84,99,2.9,4.7,4235,5.0,Heat Pump,6.30,380,,"Dry Only, Normal",,None,No,,,,No,,10/18/2023,10/13/2023,"United States, Canada",ES_1118034_WM6998H*A_10162023153153_80186979,No
2310481,LG,WM8100H*A,,048231017459;048231017466,Front Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,29.0,,2.92,1.84,120,3.2,4.7,4880,,,,,,,,,No,,,,No,,05/02/2016,02/08/2018,"United States, Canada",ES_1118034_WM8100H*A_02092018060252_70172585,No
2390058,LG,WM8900H*A,,195174024829,Front Load,,None,Residential,5.2,,29.0,,3.1,1.84,105,2.9,4.7,4423,,,,,,,,,No,,,,No,,12/22/2021,12/20/2021,"United States, Canada",ES_1118034_WM8900H*A_01042022030848_80111020,Yes
2390059,LG,WM8980H*A,,195174024867,Front Load,,None,Residential,5.2,,29.0,,3.1,1.84,105,2.9,4.7,4423,,,,,,,,,No,,,,No,,12/22/2021,12/20/2021,"United States, Canada",ES_1118034_WM8980H*A_01042022030848_80111020,Yes
2310504,LG,WM9000H*A,,048231015349;048231015356;772454058837,Front Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,29.0,,2.92,1.84,120,3.2,4.7,4880,,,,,,,,,No,,,,No,,06/29/2015,02/09/2018,"United States, Canada",ES_1118034_WM9000H*A_02092018060252_70172585,No
2310479,LG,WM9500H*A,,048231015400;048231017039,Front Load,,"Steam Cycle,Sanitize Option",Residential,5.8,,30.0,,3.1,1.84,120,2.7,4.7,4588,,,,,,,,,No,,,,No,,06/26/2016,02/08/2018,"United States, Canada",ES_1118034_WM9500H*A_02092018060252_70172585,Yes
2364018,LG,WSEX200H*A,,195174000595,Front Load,Laundry Center,None,Residential,5,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_WSEX200H*A_08042020044803_5550000_,08/03/2020,07/30/2020,"United States, Canada",ES_1118034_WSEX200H*A_08042020032635_80051503,No
2364019,LG,WSGX201H*A,,195174000601,Front Load,Laundry Center,None,Residential,5,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_WSGX201H*A    _08042020044803_5550000_,08/03/2020,07/30/2020,"United States, Canada",ES_1118034_WSGX201H*A    _08042020032635_80051503,No
2310494,LG,WT1150C*,,048231017015;772454069109,Top Load,,None,Residential,4.5,,27.0,,2.38,1.29,140,3.7,8.4,4901,,,,,,,,,No,,,,No,,09/30/2016,02/09/2018,"United States, Canada",ES_1118034_WT1150C*_02092018060252_70172585,No
2310503,LG,WT1501C*,,048231015905;772454065606,Top Load,,None,Residential,4.5,,27.0,,2.38,1.29,140,3.7,8.4,4901,,,,,,,,,No,,,,No,,06/29/2015,02/09/2018,"United States, Canada",ES_1118034_WT1501C*_02092018060252_70172585,No
2310493,LG,WT1901C*,,048231020596;048231020626;772454068737,Top Load,,None,Residential,5,,27.0,,2.38,1.29,130,3.7,8.4,5479,,,,,,,,,No,,,,No,,12/22/2016,02/09/2018,"United States, Canada",ES_1118034_WT1901C*_02092018060252_70172585,No
2310495,LG,WT5275C*,,,Top Load,,None,Residential,4.5,,27.0,,2.38,1.29,140,3.7,8.4,4901,,,,,,,,,No,,,,No,,06/30/2016,02/09/2018,"United States, Canada",ES_1118034_WT5275C*_02092018060252_70172585,No
2310501,LG,WT5680H*A,,048231013505;048231014144;772454061554;772454061585,Top Load,,"Steam Cycle,Sanitize Option",Residential,5,,27.0,,2.38,1.29,135,3.7,8.4,5479,,,,,,,,,No,,,,No,,02/15/2015,02/09/2018,"United States, Canada",ES_1118034_WT5680H*A_02092018060252_70172585,No
2386142,LG,WT7010C*,,195174024812,Top Load,,None,Residential,4.5,,27.0,,2.06,1.29,220,4.3,8.4,5708,,,,,,,,,No,,,,No,,10/15/2021,10/15/2021,"United States, Canada",ES_1118034_WT7010C*_10182021122308_80102858,No
2310477,LG,WT7050C*,,048231024044;048231024259,Top Load,,None,Residential,4.5,,27.0,,2.06,1.29,180,4.3,8.4,5696,,,,,,,,,No,,,,No,,04/16/2017,02/08/2018,"United States, Canada",ES_1118034_WT7050C*_02092018060252_70172585,No
2341401,LG,WT7060C*,,048231028110;048231028141,Top Load,,None,Residential,4.5,,27.0,,2.06,1.29,220,4.3,8.4,5721,,,,,,,,,No,,,,No,,07/22/2019,07/18/2019,"United States, Canada",ES_1118034_WT7060C*_07182019030854_80011559,No
2308537,LG,WT7100C*,,048231023986,Top Load,,Delayed Start,Residential,4.5,,27.0,,2.06,1.29,220,4.3,8.4,5721,,,,,,,,,No,,,,No,,11/30/2017,12/18/2017,"United States, Canada",ES_1118034_WT7100C*_12192017024232_70163137,No
2359624,LG,WT7150C*,,048231028431,Top Load,,None,Residential,5,,27.0,,2.06,1.29,220,4.3,8.4,6343,,,,,,,,,No,,,,No,,01/14/2021,01/14/2021,"United States, Canada",ES_1118034_WT7150C*_05082020052748_80042678,No
2393063,LG,WT7155C*,,195174026700,Top Load,,None,Residential,4.8,,27.0,,2.06,1.29,200,4.3,8.4,6038,,,,,,,,,No,,,,No,,02/16/2022,02/15/2022,"United States, Canada",ES_1118034_WT7155C*_02162022044730_80116696,No
2310492,LG,WT7200C*,,048231020275;048231024549;772454068416,Top Load,,None,Residential,5,,27.0,,2.38,1.29,130,3.7,8.4,5479,,,,,,,,,No,,,,No,,12/05/2016,02/09/2018,"United States, Canada",ES_1118034_WT7200C*_02092018060252_70172585,No
2320407,LG,WT7250C*,,048231026499,Top Load,,None,Residential,5,,27.0,,2.76,1.29,110,3.2,8.4,4720,,,,,,,,,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WT7250C*_05242018111228_70184257,No
2320408,LG,WT7300C*,,048231026000;048231026017,Top Load,,None,Residential,5,,27.0,,2.76,1.29,110,3.2,8.4,4720,,,,,,,,,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WT7300C*_05242018111228_70184257,No
2362376,LG,WT7305C*,,048231029292;048231029308,Top Load,,None,Residential,4.8,,27.0,,2.06,1.29,220,4.3,8.4,6051,,,,,,,,,No,,,,No,,07/03/2020,07/03/2020,"United States, Canada",ES_1118034_WT7305C*_07032020035929_5550000_,No
2390418,LG,WT7400C*,,195174026625;195174026663,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,130,3.2,8.4,5183,,,,,,,,,No,,,,No,,01/13/2022,01/11/2022,"United States, Canada",ES_1118034_WT7400C*_01122022104654_80113074,No
2392634,LG,WT7405C*,,195174026632;195174026670,Top Load,,None,Residential,5.3,,27.0,,2.06,1.29,220,4.3,8.4,6672,,,,,,,,,No,,,,No,,02/01/2022,02/01/2022,"United States, Canada",ES_1118034_WT7405C*_02022022010523_80114768,No
2396858,LG,WT7480C*,,195174037898,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,130,3.2,8.4,5183,,,,,,,,,No,,,,No,,05/20/2022,05/13/2022,"United States, Canada",ES_1118034_WT7480C*_05252022112444_5550001,No
2396859,LG,WT7485C*,,195174037904,Top Load,,None,Residential,5.3,,27.0,,2.06,1.29,220,4.3,8.4,6672,,,,,,,,,No,,,,No,,05/20/2022,05/13/2022,"United States, Canada",ES_1118034_WT7485C*_05252022112444_5550001,No
2310491,LG,WT7500C*,,048231016636;048231020671,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,27.0,,2.38,1.29,130,3.7,8.4,5621,,,,,,,,,No,,,,No,,02/15/2016,02/09/2018,"United States, Canada",ES_1118034_WT7500C*_02092018060252_70172585,No
2310490,LG,WT7600H*A,,048231016612;048231016629;048231017060;048231025881;772454067082;772454067099;772454067778,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,27.0,,2.38,1.29,130,3.7,8.4,5643,,,,,,,,,No,,,,No,,02/15/2016,02/09/2018,"United States, Canada",ES_1118034_WT7600H*A_02092018060252_70172585,No
2310502,LG,WT7700H*A,,048231014908;048231014915;048231018814;772454063688,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.7,,29.0,,2.76,1.29,150,3.2,8.4,5381,,,,,,,,,No,,,,No,,04/21/2015,02/09/2018,"United States, Canada",ES_1118034_WT7700H*A_02092018060252_70172585,No
2335213,LG,WT7710H*A,,048231015202;048231015219,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.7,,29.0,,2.76,1.29,150,3.2,8.4,5381,,,,,,,,,No,,,,No,,03/26/2019,03/26/2019,"United States, Canada",ES_1118034_WT7710H*A_03262019040713_70220657,No
2334257,LG,WT7800C*,,048231025553;048231026840,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,130,3.2,8.4,5145,,,,,,,,,No,,,,No,,03/06/2019,03/06/2019,"United States, Canada",ES_1118034_WT7800C*_03062019031942_70216927,No
2384329,LG,WT7800H*A,,772454074592,Top Load,,None,Residential,5,,27.0,,2.38,1.29,150,3.7,8.4,5458,,,,,,,,,No,,,,No,,09/15/2021,09/10/2021,"United States, Canada",ES_1118034_WT7800H*A_09162021110927_80099130,No
2344732,LG,WT7850H*A,,772454072741;772454072758,Top Load,,None,Residential,5.2,,27.0,,2.38,1.29,130,3.7,8.4,5665,,,,,,,,,No,,,,No,,08/14/2019,08/14/2019,"United States, Canada",ES_1118034_WT7850H*A_08162019030245_80014170,No
2354284,LG,WT7880H*A,,048231028516,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,150,3.2,8.4,5145,,,,,,,,,No,,,,No,,01/29/2020,01/29/2020,"United States, Canada",ES_1118034_WT7880H*A_01312020010131_80031163,No
2321577,LG,WT7900H*A,,048231015462;048231015479;048231025522;195174026618,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,150,3.2,8.4,5145,,,,,,,,,No,,,,No,,07/03/2018,06/25/2018,"United States, Canada",ES_1118034_WT7900H*A_06262018105726_70189258,No
3543490,LG,WT8200C*,,195174089040;195174089057,Top Load,,None,Residential,5,,27.0,,2.06,1.29,120,4.3,8.4,6330,,,,,,,,,No,,,,No,,06/04/2024,06/12/2024,"United States, Canada",ES_1118034_WT8200C*_06132024124531_80215213,No
3543491,LG,WT8205C*,,195174089552;195174089569,Top Load,,None,Residential,4.8,,27.0,,2.06,1.29,120,4.3,8.4,6076,,,,,,,,,No,,,,No,,06/11/2024,06/12/2024,"United States, Canada",ES_1118034_WT8205C*_06132024130617_80215545,No
2839401,LG,WT8400C*,,195174075364;195174075388,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,120,3.2,8.4,5164,,,,,,,,,No,,,,No,,12/08/2023,12/07/2023,"United States, Canada",ES_1118034_WT8400C*_12112023103801_80193090,No
3187270,LG,WT8405C*,,195174075371;195174075395,Top Load,,None,Residential,5.3,,27.0,,2.06,1.29,210,4.3,8.4,6672,,,,,,,,,No,,,,No,,12/28/2023,12/21/2023,"United States, Canada",ES_1118034_WT8405C*4_12222023104340_80195532,No
2839400,LG,WT8480C*,,,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,120,3.2,8.4,5164,,,,,,,,,No,,,,No,,12/08/2023,12/07/2023,"United States, Canada",ES_1118034_WT8480C*_12112023103801_80193090,No
2839399,LG,WT8600C*,,195174062494,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,120,3.2,8.4,5164,,,,,,,,,No,,,,No,,12/08/2023,12/07/2023,"United States, Canada",ES_1118034_WT8600C*_12112023103801_80193090,No
3626982,LG SIGNATURE,WM9900H*A,,195174069820,Front Load,,None,Residential,5.8,,29.0,,3.2,1.84,108,2.6,4.7,4418,,,,,,,,,No,,,,No,,08/28/2024,08/28/2024,"United States, Canada",ES_1118034_WM9900H*A_09032024122637_80219150,Yes
3942844,LG SIGNATURE,WM9901H*A,,195174116333,Front Load,,None,Residential,5.8,,29.0,,3.2,1.84,108,2.6,4.7,4418,,,,,,,,,No,,,,No,,12/31/2024,12/24/2024,"United States, Canada",ES_1118034_WM9901H*A_01162025115211_80239937,Yes
2406498,Magic Chef,MCSFLW24W1,,665679020010,Front Load,,Other,Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,,No,,,,Yes,ES_390697_MCSDRY24W1_122120221652101_3654342,01/23/2023,01/05/2023,"United States, Canada",ES_390697_MCSFLW24W1_122120221622646_9405323,No
2335029,Magic Chef,MCSFLW27W,,665679018819,Front Load,,Delayed Start,Residential,2.7,,23.4,,2.76,1.84,75,3.2,4.7,2549,,,,,,,,None,No,,,,,,06/28/2021,06/30/2021,United States,ES_1107227_MCSFLW27W_03142019050934_0174124,No
3531246,Marathon,MWM2214W,,809584001726,Front Load,,"Delayed Start,Hand Wash Cycle,Steam Cycle,Sanitize Option,Gentle Cycle",Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,,No,,,,Yes,ES_1137295_MVD420W_052320241901112_9106170,07/01/2024,06/03/2024,"United States, Canada",ES_1137295_MWM2214W_052420241841589_5743943,No
3417535,Maytag,MFW7020R**,,883049682792,Front Load,,Anti-Wrinkle,Residential,5,39.00,27.0,32.00,2.76,1.84,140,3.2,4.7,4720,,,,,,,,,No,,,,Yes,ES_1105798_MED7020R**_02202024203992_7611870,06/01/2024,02/23/2024,"United States, Canada",ES_22856_MFW7020R**_021420241947543_4573590,No
2310325,Maytag,MHW3500F**,,883049385105,Front Load,,"Delayed Start,Deep Clean/Stain Treat",Residential,4.5,,27.0,,2.92,1.84,87,3.2,4.7,4210,,,,,,,,,No,,,,Yes,ES_22856_MED3500FW*_04282016181802_7482117,06/01/2016,02/05/2018,"United States, Canada",ES_22856_MHW3500F**_04262016182410_5050572,No
2331769,Maytag,MHW5630H**,,883049456959,Front Load,,"Delayed Start,Anti-Wrinkle,Clean Washer with Affresh",Residential,4.5,,27.0,,2.76,1.84,128,3.2,4.7,4267,,,,,,,,None,No,,,,Yes,"ES_1129244_MED5630H**_10142018214925_3765911, ES_1129244_MGD5630H**_10142018213837_3117201",12/03/2018,08/24/2018,"United States, Canada",ES_15649_MHW5630H**_10142018184935_2975704,No
2398196,Maytag,MHW5630M**,,883049625850,Front Load,,Anti-Wrinkle,Residential,4.5,,27.0,,2.92,1.84,86,3.2,4.7,4267,,,,,,,,None,No,,,,Yes,"ES_22856_MED5630M**_082920221404797_2384995,  ES_22856_MGD5630M**_082620221533556_7834086",07/15/2022,07/05/2022,United States,ES_22856_MHW5630M**_062320221618117_6794710,No
2331771,Maytag,MHW6630H**,,883049456966,Front Load,,"Delayed Start,Anti-Wrinkle,Sanitize Option,Clean Washer with Affresh",Residential,4.8,,27.0,,2.76,1.84,143,3.2,4.7,4541,,,,,,,,None,No,,,,Yes,"ES_1129244_MED6630H**_10142018214819_3699188, ES_1129244_MGD6630H**_10142018213725_3045415",12/03/2018,08/24/2018,"United States, Canada",ES_15649_MHW6630H**_10142018185017_3017925,No
2398197,Maytag,MHW6630M**,,883049625867,Front Load,,Anti-Wrinkle,Residential,4.8,,27.0,,2.92,1.84,99,3.2,4.7,4541,,,,,,,,None,No,,,,Yes,"ES_22856_MED6630M**_082920221405281_7229925, ES_22856_MGD6630M**_08262022153481_2249995",07/15/2022,07/05/2022,United States,ES_22856_MHW6630M**_062320221618590_4508742,No
2310392,Maytag,MHW8150E**,,883049391021,Front Load,,"Delayed Start,Delayed Start, Steam for stains, Fan Fresh",Residential,4.5,,27.0,,2.76,1.84,79,3.2,4.7,4239,,,,,,,,,No,,,,Yes,"ES_22856_MED8150EC*_04282016181030_7030145,ES_22856_MED8150EW*_04282016181045_7045337",06/01/2016,02/05/2018,"United States, Canada",ES_22856_MHW8150E**_04262016181423_4463458,No
2331772,Maytag,MHW8630H**,,883049456973,Front Load,,"Delayed Start,Steam Cycle,Anti-Wrinkle,Sanitize Option,Clean Washer with Affresh, Overnight Wash and Dry.",Residential,5,,27.0,,2.76,1.84,159,3.2,4.7,4720,,,,,,,,None,Yes,Wi-Fi,Cloud Rest API,No,Yes,"ES_1129244_MED8630H**_10142018215052_3852507, ES_1129244_MGD8630H**_10142018213503_2903417",12/03/2018,08/24/2018,"United States, Canada",ES_15649_MHW8630H**_10142018185059_3059240,No
2345404,Maytag,MVW7230H**,,883049462257,Top Load,,"Wrinkle Control, Delicate Cycle, Sanitize w/Oxi, Delayed Start",Residential,5.2,,27.0,,2.06,1.29,260,4.3,8.4,6622,,,,,,,,,Yes,Wi-Fi,Smart Energy Profile (SEP) 2.x,No,Yes,"ES_22856_MED7230H**_08242019192040_4440596, ES_22856_MGD7230H**_08242019192953_4993100",01/01/2020,08/23/2019,"United States, Canada",ES_22856_MVW7230H**_08242019191053_3853439,No
2345405,Maytag,MVW7232H**,,883049514888,Top Load,,"Wrinkle Control, Delicates, Delayed Start, Sanitize w/oxi",Residential,5.3,,27.0,,2.06,1.29,270,4.3,8.4,6736,,,,,,,,,Yes,Wi-Fi,Smart Energy Profile (SEP) 2.x,No,Yes,"ES_22856_MED7230H**_08242019192040_4440596, ES_22856_MGD7230H**_08242019192953_4993100",01/01/2020,08/23/2019,"United States, Canada",ES_22856_MVW7232H**_08242019194503_5903870,No
2345398,Maytag,MVW8230H**,,883049462264,Top Load,,"Wrinkle Control, Delicate Cycle, Sanitize w/Oxi, Delayed Start",Residential,5.2,,27.0,,2.06,1.29,260,4.3,8.4,6622,,,,,,,,,Yes,Wi-Fi,Smart Energy Profile (SEP) 2.x,No,Yes," ES_22856_MGD8230H**_08202019184724_6844383,ES_22856_MED8230H**_08202019175316_3596061",01/01/2020,08/23/2019,"United States, Canada",ES_22856_MVW8230H**_08242019183901_1941075,No
2309397,Maytag,MVWB965H**,,883049483146,Top Load,,"Steam Cycle,Sanitize Option",Residential,6,,29.0,,2.06,1.29,311,4.3,8.4,7636,,,,,,,,,No,,,,,,04/01/2018,12/18/2017,"United States, Canada",ES_15649_MVWB965H**_01222018172256_1776074,No
2376689,Midea,MFH180-G1304DS/F01E-US,,,Front Load,,None,Residential,4.5,,27.0,,2.76,1.84,112,3.2,4.7,4248,,,,,,,,,No,,,,,,04/25/2021,05/03/2021,"United States, Canada",ES_1030337_MFH180-G1304DS/F01E-US_050220212231935_4603829,No
2397951,Midea,MLH25N7BWW,,,Front Load,,None,Residential,2.5,,23.4,,2.76,1.84,65,3.2,4.7,2360,,,,,,,,,No,,,,,,06/23/2022,06/27/2022,"United States, Canada",ES_1030337_MLH25N7BWW_06272022071479_9378205,No
2403283,Midea,MLH27N4AWWC,,687636006462,Front Load,,None,Residential,2.5,,23.4,,2.76,1.84,65,3.2,4.7,2388,,,,,,,,,No,,,,,,09/19/2022,10/19/2022,"United States, Canada",ES_1030337_MLH27N4AWWC_101920220318908_3031477,No
